Dates,Duration,Max_EDf5,Max30,Total_mm
2002-12-09 - 2002-12-10,13.166666666666666,34.800000000000004,43.8,57.2
2003-01-19 - 2003-01-21,39.0,22.450000000000003,53.0,87.8
2003-02-08 - 2003-02-10,63.0,2.5263157894736845,9.200000000000001,47.0
2003-02-24 - 2003-02-26,58.333333333333336,4.6,13.600000000000001,63.3
2003-03-18 - 2003-03-19,31.333333333333332,8.76,20.2,41.2
2003-03-24 - 2003-03-26,40.166666666666664,4.153846153846154,11.200000000000001,70.5
