Dates,Duration,Max_EDf5,Max30,Total_mm
2009-10-29 - 2009-10-30,26.666666666666668,25.2,16.599999999999998,58.5
2009-12-17 - 2009-12-18,18.833333333333332,20.5,11.1,49.70000000000001
2010-02-25 - 2010-02-26,14.833333333333334,16.2,13.100000000000001,86.99999999999999
