Dates,Duration,Max_EDf5,Max30,Total_mm
2014-11-16 - 2014-11-16,7.333333333333333,38.199999999999996,38.199999999999996,50.7
2014-11-25 - 2014-11-27,61.833333333333336,8.242105263157896,17.0,104.9
2015-01-07 - 2015-01-10,68.5,8.428571428571429,15.799999999999999,97.69999999999999
2015-01-14 - 2015-01-16,41.666666666666664,5.953846153846154,9.4,42.50000000000001
2015-04-10 - 2015-04-12,47.0,5.6,17.0,54.9
