Dates,Duration,Max_EDf5,Max30,Total_mm
2005-12-24 - 2005-12-25,28.666666666666668,9.266666666666667,15.8,58.800000000000004
2006-01-10 - 2006-01-13,86.0,4.984615384615385,16.2,109.4
