Time,mm/10-min
2020-12-15 21:00:00,0.0
2020-12-15 21:10:00,0.6
2020-12-15 21:20:00,2.5
2020-12-15 21:30:00,0.0
2020-12-15 21:40:00,0.1
2020-12-15 21:50:00,0.0
2020-12-15 22:00:00,0.0
2020-12-15 22:10:00,0.0
2020-12-15 22:20:00,0.0
2020-12-15 22:30:00,0.0
2020-12-15 22:40:00,0.0
2020-12-15 22:50:00,0.0
2020-12-15 23:00:00,0.0
2020-12-15 23:10:00,0.0
2020-12-15 23:20:00,0.0
2020-12-15 23:30:00,0.0
2020-12-15 23:40:00,0.0
2020-12-15 23:50:00,0.0
2020-12-16 00:00:00,0.0
2020-12-16 00:10:00,0.0
2020-12-16 00:20:00,0.0
2020-12-16 00:30:00,0.0
2020-12-16 00:40:00,0.0
2020-12-16 00:50:00,0.0
2020-12-16 01:00:00,0.0
2020-12-16 01:10:00,0.0
2020-12-16 01:20:00,0.0
2020-12-16 01:30:00,0.0
2020-12-16 01:40:00,0.0
2020-12-16 01:50:00,0.0
2020-12-16 02:00:00,0.0
2020-12-16 02:10:00,0.0
2020-12-16 02:20:00,0.0
2020-12-16 02:30:00,0.0
2020-12-16 02:40:00,0.0
2020-12-16 02:50:00,0.0
2020-12-16 03:00:00,0.0
2020-12-16 03:10:00,0.0
2020-12-16 03:20:00,0.1
2020-12-16 03:30:00,0.5
2020-12-16 03:40:00,0.0
2020-12-16 03:50:00,0.0
2020-12-16 04:00:00,0.0
2020-12-16 04:10:00,0.0
2020-12-16 04:20:00,0.5
2020-12-16 04:30:00,4.6
2020-12-16 04:40:00,1.3
2020-12-16 04:50:00,3.6
2020-12-16 05:00:00,0.5
2020-12-16 05:10:00,0.3
2020-12-16 05:20:00,0.1
2020-12-16 05:30:00,0.0
2020-12-16 05:40:00,0.0
2020-12-16 05:50:00,0.1
2020-12-16 06:00:00,0.2
2020-12-16 06:10:00,0.2
2020-12-16 06:20:00,0.1
2020-12-16 06:30:00,0.0
2020-12-16 06:40:00,0.0
2020-12-16 06:50:00,0.0
2020-12-16 07:00:00,0.7
2020-12-16 07:10:00,0.0
2020-12-16 07:20:00,0.0
2020-12-16 07:30:00,0.0
2020-12-16 07:40:00,1.2
2020-12-16 07:50:00,3.5
2020-12-16 08:00:00,2.5
2020-12-16 08:10:00,1.4
2020-12-16 08:20:00,0.2
2020-12-16 08:30:00,0.1
2020-12-16 08:40:00,0.1
2020-12-16 08:50:00,0.0
2020-12-16 09:00:00,0.0
2020-12-16 09:10:00,0.0
2020-12-16 09:20:00,0.0
2020-12-16 09:30:00,0.1
2020-12-16 09:40:00,0.0
2020-12-16 09:50:00,0.1
2020-12-16 10:00:00,0.0
2020-12-16 10:10:00,0.8
2020-12-16 10:20:00,0.3
