0:00	0
0:10	0.3
0:20	0.2
0:30	1.8
0:40	0.1
0:50	0.6
1:00	0.8
1:10	0.2
1:20	0.2
1:30	0.5
1:40	0.8
1:50	4.5
2:00	2.9
2:10	2.5
2:20	1.8
2:30	1.5
2:40	3.8
2:50	1
3:00	1.7
3:10	1
3:20	1.7
3:30	4.9
3:40	2.3
3:50	0.7
4:00	2.4
4:10	5.9
4:20	0.2
4:30	0.3
4:40	0.1
4:50	0
5:00	0.1
5:10	0
5:20	0
5:30	3.1
5:40	1.6
5:50	1.1
6:00	0.9
6:10	0.8
6:20	0.2
6:30	0.1
6:40	0
6:50	0.2
7:00	0
7:10	0.1
7:20	0
7:30	0
7:40	0
7:50	0
8:00	0
8:10	0
8:20	0
8:30	0
8:40	0
8:50	0
9:00	0
9:10	1.7
9:20	5.7
9:30	5.5
9:40	1.9
9:50	0.1
10:00	0
10:10	0.1
10:20	0
10:30	0.3
10:40	4.6
10:50	2
11:00	0
11:10	0.1
11:20	1.9
11:30	0.4
11:40	0
11:50	0
12:00	0
12:10	1
12:20	1.4
12:30	5.5
12:40	0
