Dates,Duration,Max_EDf5,Max30,Total_mm,Season,Baseline_max,Baseline_water,try,max_flow-perfect,Flow_reduction-perfect,water-perfect,Water_reduction-perfect,max_flow-plusMin,Flow_reduction-plusMin,water-plusMin,Water_reduction-plusMin,max_flow-swap,Flow_reduction-swap,water-swap,Water_reduction-swap,Flow_from_perfect-plusMin,Flow_from_perfect-swap,Water_from_perfect-plusMin,Water_from_perfect-swap
2000-10-24 - 2000-10-26,31.166666666666668,12.18,38.2,65.80000000000001,2000-2001,619.8621448920413,1447.1942900000029,0.5855605692467893,397.3461676401223,35.89765548445835,968.7430607407979,33.06060786483645,370.15810052317744,40.28380284657547,926.6526755868296,35.969020746562805,388.74631436563044,37.285037073309795,1250.950728460415,13.560277489734125,-6.84241332398333,-2.164322692620199,-4.344845073964381,29.131322757947064
2000-12-19 - 2000-12-20,19.666666666666668,18.9,22.8,50.6,2000-2001,569.3573150304072,1424.0727600000102,0.3378065710319297,388.3003390533179,31.800237073869823,1148.2831703374725,19.366256936375624,388.3027204320153,31.799818816540977,1208.3618427748006,15.1474646018233,406.58220617521187,28.58927154497034,1048.600526526103,26.366084937535387,0.0006132826726891964,4.708176965919074,5.232043278982432,-8.681015831841668
2001-12-04 - 2001-12-06,40.16666666666666,12.461538461538462,23.800000000000004,119.5,2001-2002,623.3456019939404,1462.3680200000058,0.6070535962232713,502.7197282694561,19.351363567598717,1267.9271304726478,13.29630345221562,492.9811437156063,20.913672585693696,1361.0458539191238,6.928636615075977,495.6916431399218,20.478841664348426,1264.3947415278967,13.537856118606062,-1.9371797059513673,-1.398012597143845,7.344169961231442,-0.27859558012883145
2002-01-07 - 2002-01-09,62.66666666666666,13.2,27.0,109.1,2001-2002,555.1142956776484,1505.2680200000068,0.03868280103154136,488.8767076831528,11.93224323535696,1501.933109723741,0.22154926776866343,482.534237534243,13.074795354496192,1480.086014591,1.6729250256048482,485.98279260058024,12.453562016931455,1504.6486741666736,0.04114521966215854,-1.2973557645991252,-0.5919519251156766,-1.4545984099624312,0.18080461941691497
2002-12-09 - 2002-12-10,13.166666666666666,34.800000000000004,43.8,57.2,2002-2003,444.38683966527356,1417.5418100000056,0.2026839426191578,405.1633836863225,8.826421594414322,1342.4259280834738,5.299024084272446,405.1633836863225,8.826421594414322,1379.1327031370486,2.70955724847064,405.1633836863225,8.826421594414322,1298.6039057635946,8.39043359408288,0.0,0.0,2.734361299619678,-3.264390340139066
2003-01-19 - 2003-01-21,39.0,22.450000000000003,53.0,87.8,2002-2003,729.2805424863551,1459.5623600000106,0.6167731185781727,728.9375202353949,0.04703570587399937,1437.017207450332,1.5446515453905199,728.9270963110454,0.04846504941770616,1437.0636824503322,1.5414673717454759,728.9270480383884,0.048471668634062846,1430.1492371825505,2.015201516806717,-0.0014300161619026487,-0.0014366384931195693,0.003234129679112192,-0.47793236101656134
2003-02-08 - 2003-02-10,63.0,2.5263157894736845,9.2,47.0,2002-2003,93.26898236076728,1505.0771150000062,0.713747272366594,33.12449682403265,64.4849809812376,1503.8865063228645,0.07910615776930799,35.52017649335722,61.91641037106625,1491.1989649011275,0.9220889720908833,27.50206132056809,70.51317530817558,1492.332528020031,0.846773022655059,7.232350372146474,-16.97364803255016,-0.8436501935747255,-0.7682746174167062
2003-02-24 - 2003-02-26,58.333333333333336,4.6,13.6,63.3,2002-2003,166.75233491267866,1491.019125000008,0.47280722055079843,88.9118788872561,46.68027950924011,1491.019125000008,0.0,99.99527772270217,40.03365663511364,1491.019125000008,0.0,98.53927066457285,40.90681205982884,1491.019125000008,0.0,12.465599618584463,10.828015218894077,0.0,0.0
2003-03-18 - 2003-03-19,31.33333333333333,8.76,20.2,41.2,2002-2003,138.44054794376342,1452.9407450000033,0.3151683443248872,121.92132028925111,11.93236223048081,1378.4774367344173,5.12500654426797,121.85595957959325,11.979574344726716,1423.8736683490765,2.0005686227022768,121.93134001144246,11.92512466725229,1356.940435725816,6.607310697600885,-0.05360892541419529,0.008218187079645733,3.293215427754978,-1.5623760269607254
2003-03-24 - 2003-03-26,40.16666666666666,4.153846153846154,11.2,70.5,2002-2003,156.68612915609424,1461.4156400000065,0.26659261316301025,83.02411536325874,47.012466380767975,1461.4156400000065,0.0,82.80537455601409,47.152070829753214,1461.4156400000065,0.0,93.71532382065925,40.18913842252243,1461.4156400000065,0.0,-0.2634665919505337,12.877232609613284,0.0,0.0
